Matriz de Marco de Trabajo de HU;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ITEM;PROBLEMA;"QUE 
(NECESIDAD)";"PARA QUE 
(SOLUCIÓN)";PARA QUIEN (USUARIO);"COMO
 (DESCRIPCIÓN DE TAREAS)";HECHO POR  (PROG. RESP.);CUANTO TIEMPO (ESTIMADO EN HRS);FECHA DE ENTREGA;PRIORIDAD;STATUS;"PRUEBA 
(COMO SE VERIFICA)";COMENTARIOS;NOMBRE DE HISTORIA ;
TAR001;Ingreso al sistema ;El programa deberá validar las credenciales, el ingreso a la aplicación que se encargará de gestionar el emprendimiento;El adminstrador valdiará sus credenciales y tendrá un acceso al sistema de gestión de eventos;Administrador/Colaborador del emprendimento;Ingresar con usuario y contraseña (Nombre del usuario para que sea facil de recrodar) contraseña(Contenida por letras y numeros, para mayor seguridad del negocio);"Verdezoto Miguel
";3;26/05/2026;Alta;Terminado;Si usuario y contraseña son correctos puede ingresar al sistema (se despliega una nueva ventana muestra un mensaje que la sesión se ha iniciado con éxito). Se crearon diferentes validaciones: 1. Si el usuario ingresa su usuario o contraseña incorrectos, no permite el acceso  y se despliega un mensaje de error por motivos de seguridad. 2. Si el usuario intenta presionar el botón de ingreso dejando los campos obligatorios en blanco, el sistema detiene la ejecución, muestra un mensaje de ERROR y solicita completar los datos requeridos. 3. En caso de que existan 3 equivocaciones al escribir el usuario o la contraseña, tendrá 3 intentos para ponerlos correctamente, caso contrario se bloqueará la ventana y y tendra un límite de 3 minutos para volver a intentar ingresar.;Informar al usuario si sus credenciales son correctas o no, caso contrario si no existe en la basa de datos registrada;Ingreso al sistema;
TAR002;Ventana administrador;El programa deberá  llevar una gestión de colaboradores, gestión de clientes, gestión de eventos, gestión de reservas;"
Tener una correcta organización de las funciones que gestionará el administrador";Administrador del emprendimento;En la ventana administrador se podrá acceder a formualrios para llevar un correcta gestión de clientes, empleados y eventos.;"Verdezoto Miguel
";1;26/05/2026;Alta;Terminado;Únicamente el administrador tendrá acceso a todos los datos necesarios para facilitar el control del sistema. Tendrá un centro de mandos. Donde cada botón estará vinculado directamente a Gestión Colaboradores, Clientes, Reserva y Cerrar Sesión.;El sistema no permite ingresos externos a datos importantes. ;Ventana administrador;
TAR003;Gestión de Colaboradores;El programa deberá asignar credenciales unicas a un colaborador y llevar su respectivo registro, almacenando los datos en una base datos;Llevar un control de colaboradores que tendrán acceso al sistema;Administrador del emprendimento;Formulario que permita llevar un regsitro de los colaboradores y crear credenciales para que puedan tener acceso al sistema.;"Jaramillo Mateo
";1;05/06/2027;Alta;Terminado;Las credenciales de un empleado son únicas,si llena correctamente todos los campos podrá ser añadido correctamente al sistema y se mostrará una tabla con todos los datos anteriores. Para eso debe llenar un formulario con su NOMBRE COMPLETO, CÉDULA, USUARIO y CONTRASEÑA. Donde si el sistema verifica que  existan campos, en caso de que eso ocurra, saldrá un mensaje de Advertencia. También si se colocan letras en el apartado de cédula, saldrá un mensaje de error(indicando que la cédula solo debe contener números). Si se repiten los nombres de usario o el número de cédula saldrá un mensaje diciend( que ese nombre o cedula ya existen).;El sistema será capaz de registrar empleados y sus credenciales para el loggin;Registro de empleados;
TAR004;Gestión de Colaboradores;El programa deberá tener un formulario para buscar a un colaborador mediante su id y poder eliminar sus credenciales de la base de datos. ;Eliminar las credenciales de un colaborador para que impedir su acceso al sistema;Administrador del emprendimento;Formulario para buscar a un colaborador mediante su id y poder eliminar sus credenciales de la base de datos. ;"Jaramillo Mateo
";1;05/06/2027;Alta;Terminado;Verificar las credenciales de un empleado y eliminar esos datos para el logginVerificar las credenciales de un empleado y eliminar esos datos para el loggin. Al implementar un  buscador por número de identificación (ID) del colaborador, si se coloca un número de cédula incorrecto el sistema mostrará un mensaje de ERROR(Pidiendo que ingrese un número de cédula válidos). Si se ingresa una cédula que este registrada, se despelgará una ventana con la información del colaborador. Y para eliminar el colaborador mostrará un mensaje de ADVERTENCIA(Seleccione un colaborador de la tabla para eliminarlo), al momento de selecionar saldrá otro mensaje(Estás seguro de eliminar este colaborador?) Y si colocas en la opción SÍ, se mostrará un mensaje indicando que el Colaborador se ha eliminado exitosamente.;El sistema será capaz de eliminar las credenciales de un empleado pero no se perderá información de las reservas,;Eliminar credenciales de un colaborador;
TAR005;Gestión de Colaboradores;El programa deberá Editar y  actualizar los datos registrados de los colaboradores.;Mantener los expedientes al día garantizando una correcta asignación de responsabilidades.;Administrador del emprendimento;Buscar al colaborador desde la lista con su ID, habilitar los campos editables del formulario, modificar la información necesaria y presionar el botón de actualizar para guardar los cambios.;Valeria Sosa;3;20/06/2027;Alta;Terminado;"Buscar un colaborador existente por medio de la cédula,mostrando un formulario donde se podrá modificar su número de teléfono,usuario,contraseña y nombre, presionar ""Actualizar"" y verificar que el sistema guarde el cambio y muestre el mensaje de éxito.Si la cédula no se encuentra, saldrá un mensaje diciendo que dicha cédula no esta registrada.
También al intentar guardar algun campo de edición sin nada; el sistema bloqueará la acción y mostrará la alerta: ""Error: No se pueden guardar campos vacíos"". En la opcion del formulacion del Teléfono también cumple con una validación, la cual no permitirá el el número contenga más de 10 números y verificará que el teléfono empiece con 0. Al finalizar al colocar en la opción Guardar mostrará un mensaje de que los ¨Cambios guardados exitosamente¨.";Se requiere que el sistema guarde un historial de qué administrador realizó los cambios.;Actualización de Colaboradores;
TAR006;Interfaz gráfica;El programa deberá optimizar el aspecto visual, la distribución de menús y la organización de elementos.;Optimizar los tiempos de navegación en la plataforma y reducir el cansancio del usuario en jornadas largas.;Programador del emprendimiento ;Aplicar los nuevos colores institucionales a los botones, unificar los fondos de las pantallas y estilizar los bordes de los formularios para una vista más limpia.;Valeria Sosa;3;20/06/2027;Alta;Terminado;"Hacer clic en cada botón del nuevo panel lateral fijo y verificar que redirija al módulo correcto al instante y sin desconfigurar la pantalla. Abrir el sistema en una laptop (pantalla de 13 pulgadas) y en un monitor grande (pantalla de 24 pulgadas) para comprobar que las tablas, botones y menús se reacomoden perfectamente sin amontonarse ni cortarse.
 Verificar visualmente que la combinación de colores pasteles y tipografías uniformes permita leer claramente los textos a una distancia normal de trabajo sin causar fatiga visual.";Utilizar colores pasteles o neutros para evitar la fatiga visual del usuario en jornadas largas.;Modernización Visual de Interfaz;
TAR007;Gestión de Clientes;El programa deberá contar con un formulario para llenar con los datos del cliente;Digitalizar en una base de datos los registros de los clientes;Administrador del emprendimento;Formulario que permita ingresar la información del cliente, opcion de eliiminar a un cliente, opción de editar la información de un cliente, buscar si un cliente ya ha sido registrado.;Miguel Verdezoto;4;25/06/2027;Alta;En proceso;Los datos del cliente son únicas,si llena correctamente todos los campos podrá ser añadido correctamente al sistema y se mostrará una tabla con todos los datos anteriores. Para eso debe llenar un formulario con su NOMBRE, APELLIDO Y CONTACTO. Donde si el sistema verifica que  existan campos vacios, saldrá un mensaje de Advertencia. También si se colocan letras en el apartado de cédula, saldrá un mensaje de error(indicando que la cédula solo debe contener números). ;El sistema será capaz de registrar errores como el número de cédula inválidó o que los campos del formualriode registro no se encuentren vaciós;Registro Cliente;
TAR008;Gestión de Clientes;El programa deberá contar con un formulario para ingresar la cédula de un cliente y comprobar que se encuentre resgistrado en la base de datos ;En el caso de ser necesario eliminar el registro de un cliente se lo pueda hacer de manera rápida.;Administrador del emprendimento;Ingresar el número de cédula de un cliente, veríficar que el cliente existe, si existe se podrá eiminar sus registros;Miguel Verdezoto;3;25/06/2027;Alta;En proceso;Si el cliente existe dentro de la base de datos, se podrá visualizar su información para estar seguro que ese registro se desea eliminar;El sistema será capaz de encontrar los registros de un cliente y elimianrlo de su base de datos.;Eliminar Cliente;
TAR009;Gestión Eventos;El programa deberá llevar un registro de reservas con los diferentes tipos de servicios que ofrece el emprendimiento;Evitar que se crucen eventos en la misma hora y temática de evento, también poder observar los eventos que se tienen agendados;Administrador del emprendimento;Formulario que permita ingresar fehcha de evento, escoger el tipo de evento y poder ingresar el costo de ese evento.;"Jaramillo Mateo
Sosa Valeria
Velasquez Mery 
Verdezoto Miguel
";;;Alta;No iniciado;Cada evento que se quiera registrar tendrá un contador para llevar el conteo de eventos que se proporcionan, también cada evento será registrado con el número de cedula de un cleinte para llevar un mayor control;El sistema será capaz de comprobar que la fecha y hora de un evento no se crucen para registrar eventos con la mejor eficiencia posible.;Registro de Reservas;
TAR010;;;;;;;;;;; ;;;
